 (Half Day),（半天）
"Already set default in pos profile {0} for user {1}, kindly disabled default",已经在用户{1}的pos配置文件{0}中设置了默认值，请禁用默认值
"Always add ""Draft"" Heading for printing draft documents",打印草稿状态单据时添加“草稿”标题
"Amount for a single transaction exceeds maximum allowed amount, create a separate payment order by splitting the transactions",单笔交易的金额超过最大允许金额，通过拆分交易创建单独的付款订单
"An amount of {0} already claimed for the component {1},\						 set the amount equal or greater than {2}",已为组件{1}申请的金额{0}，设置等于或大于{2}的金额
"An item exists with same name ({0}), please change the item group name or rename the item",具有名称 {0} 的物料已存在，请更名
"An Item Group exists with same name, please change the item name or rename the item group",同名物料组已存在，请修改物料名或组名
"Another {0} with name {1} exists, select another name",具有相同名称{1}的{0}已存在，请更名。
"Any other remarks, noteworthy effort that should go in the records.",任何其他言论，值得一提的努力，应该在记录中。
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",除了系统管理员，有“设置用户权限”的角色可以为其他用户设置某单据类型的权限。
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")",作为此单据类型的交流信息添加(必须有“状态”和“主题”字段)
"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，则适用
"Apply Tax Withholding Amount ",含代扣税款
"Appointment cancelled, Please review and cancel the invoice {0}",预约已取消，请查看并取消发票{0}
"Apps using current key won't be able to access, are you sure?",使用当前密钥的应用程序将无法访问，您确定吗？
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",一种最佳的做法是，不要给不同的角色分派同样的权限规则，而是向同一用户分派多个角色。
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}",根据采购设置，如果需要采购入库==“是”，则为了创建采购发票，用户需要首先为物料{0}创建采购订单
"As raw materials projected quantity is more than required quantity, there is no need to create material request.			Still if you want to make material request, kindly enable <b>Ignore Existing Projected Quantity</b> checkbox",由于原材料预计数量超过所需数量，因此无需创建物料需求。如果您想要生成物料需求，请启用<b>忽略现有预计数量</b>复选框
"As there are existing transactions against item {0}, you can not change the value of {1}",由于物料{0}已被用于现有业务单据中，不允许再更改字段{1}的值
"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.","因仓库 {0} 有足够库存，未生成物料需求。"
"Asset cannot be cancelled, as it is already {0}",资产不能被取消，因为它已经是{0}
"Asset is already exists against the item {0}, you cannot change the has serial no value",资产已关联物料{0}，您无法更改启用序列号管理字段值
"Asset {0} cannot be scrapped, as it is already {1}",因为已经{1}，资产{0}不能报废，
"Assets, Depreciations, Repairs, and more.",固定资产，折旧，维修及更多
"Assign one by one, in sequence",按顺序逐个用户分派
"Attach .csv file with two columns, one for the old name and one for the new name",附加.csv文件有两列，一为旧名称，一个用于新名称
"Available qty is {0}, you need {1}",可用数量：{0}，需要：{1}
"Available quantity is {0}, you need {1}",可用数量 {0}，需求数量 {1}
"Balance Stock Value using (F)",库存差异余额 (F)
"Bank Account, From Date and To Date are Mandatory",银行户头，开始日期和截止日期必填
"Batched Item {0} cannot be updated using Stock Reconciliation, instead use Stock Entry",按批号管理的物料{0}无法使用库存调账功能更新，请使用物料移动功能
"Batchwise Valuation",启用批号成本
"because account {} is not linked to warehouse {} ",因为科目未关联到仓库{}
"because expense is booked against this account in Purchase Receipt {}",因为在采购入库中费用记账至此科目
"Billed, Received & Returned",已开票，已收货，已退货
"Blogs, Website View Tracking, and more.",博客，网站访问追踪及更多
"browse,",浏览
"Budget cannot be assigned against {0}, as it's not an Income or Expense account",预算案不能分配给科目{0}，因为其不是收入或费用科目
"Build All?",物料齐套?
"Buying must be checked, if Applicable For is selected as {0}",“适用于”为{0}时必须勾选“采购”
"Can not filter based on Account, if grouped by Account",按科目分组后不能再基于科目过滤
"Can not filter based on Voucher No, if grouped by Voucher",按凭证分类后不能根据凭证编号过滤
"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}",无法标记出院的住院病历，有未开单的发票{0}
"Can't change the valuation method, as there are transactions against some items which do not have its own valuation method",有些物料未在物料基础数据中维护成本计算方法且已关联物料凭证与会计凭证，考虑资料一致性此处成本计算方法不能被修改
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method",不能改变估值方法，因为已有业务单据使用了没有估值方法的物料
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",因为已有交易不能改变公司的默认货币，请先取消交易。
"Cannot declare as lost, because Quotation has been made.",已报价，不能更改状态为未成交。
"Cannot delete Serial No {0}, as it is used in stock transactions",无法删除已在库存业务单据中使用过的序列号{0}
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",无法编辑标准通知。要进行编辑，请勾选禁用然后复制它
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set allowance in Accounts Settings",第{1}行物料{0}发票金额不能超过{2}。要允许超订单金额开票，请在“会计设置”中设置 发票超金额控制(%),
"Cannot overbill for Item {0} in row {1} more than {2}. To allow over-billing, please set in Stock Settings",第{1}行物料{0}超额开票不能超过上限{2}。必要时请更改“物料基础资料”的设置
"Cannot process route, since Google Maps Settings is disabled.",由于禁用了Google地图设置，因此无法处理路线。
"Cannot submit feedback, please try again later",无法提交反馈，请稍后再试
"Cannot Submit, Employees left to mark attendance",无法提交，不能为已离职员工登记考勤
"CC, BCC & Email Template",抄送，暗送和电子邮件模板
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",某些单据，例如发票一旦进入最终状态(即“已提交”)就不能再更改。你可以限制可以提交的角色。
"Change field properties (hide, readonly, permission etc.)",更改字段属性（隐藏，只读，权限等）
"Change type of field. (Currently, Type change is \						allowed among 'Currency and Float')",改变字段的类型。(目前类型更改允许“货币”和“浮点数”)
"Charges will be distributed proportionately based on item qty or amount, as per your selection",费用会根据选择的物料数量和金额按比例分摊。
"Check columns to select, drag to set order.",勾选列选择，拖动列排序。
"Clearing end date, as it cannot be in the past for published pages.",清除结束日期，因为发布的页面不能在过去。
"Company is mandatory, as it is your company address",公司地址中的公司信息必填
"Company, Payment Account, From Date and To Date is mandatory",公司，付款科目，开始日期和截止日期字段都是必填的
"Consumption Rate",出库成本价
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",联系人选项，如“销售查询，支持查询”等每个新行或以逗号分隔。
"Context variable: doc and frappe.session.user, function get_roles can be used","可使用doc(当前单据)，frappe.session.user(当前用户)变量,获取用户角色函数get_roles"
"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",无法自动创建退款单，请取消选中&#39;发出退款单&#39;并再次提交
"Could not update stock, invoice contains drop shipping item.",无法更新库存，发票包含直运物料。
"Create and manage daily, weekly and monthly email digests.",创建和管理每日，每周和每月的电子邮件摘要。
"Create Employee records to manage leaves, expense claims and payroll",创建员工档案管理休假，报销和工资
"Create Your First Purchase Invoice ",新增第一张采购发票
"Create Your First Sales Invoice ",新增第一张销售发票
"Creation",创建日期
"Customize Label, Print Hide, Default etc.",自定义标签，打印隐藏，默认值等。
"Customized Formats for Printing, Email",自定义打印格式，电子邮件
"Dear System Manager,",亲爱的系统管理员，
"Dear User,",亲爱的用户，
"Default: ""Contact Us""",默认：“联系我们”
"Delivery Note(s) created for the Pick List",已为拣货单创建销售出库
"Delivery Notes {0} Updated""",出货单 {0} 已更新
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",列表页面说明，使用纯文本（最多140个字符）。
"Details of Sponsor (Name, Location)",赞助商信息（名称，地点）
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry",生产工单{1}中未找到已移转物料{0}，未在物料移动凭证中添加该物料
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry",差异科目必须是资产/负债类科目，因为物料移动凭证是开账凭证
"Difference Account must be a Asset/Liability type account, since this Stock Reconciliation is an Opening Entry",因为此库存调账是开账凭证，差异科目必须是资产/负债类科目，
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",单据允许多种不同状态，例如“处理中”，“待审批”等。
"Discounts to be applied in sequential ranges like buy 1 get 1, buy 2 get 2, buy 3 get 3 and so on",按适用数量范围计算折扣，如买1送1，买2送2，买3送3等
"Distribute Additional Costs Based On ",额外费用分摊方式
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores",的DocType的名称应以字母开始，它只能由字母，数字，空格和下划线
"document type..., e.g. customer",单据类型...，如客户
"Documentation Results for ""{0}""",单据“{0}”的结果
"Don't encode HTML tags like <script> or just characters like < or >, as they could be intentionally used in this field",不对HTML标签或仅包含字符（如<或>）进行编码，因为它们可能在此字段中被有意使用
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",后台不进行HTML编码过滤，即可以直接使用HTML标签，如&lt;SCRIPT&gt;或者就像字符&lt;或&gt;
"Don't know, ask 'help'",不知道，问&#39;帮助&#39;
"Drag and drop files, ",拖拽文件
"e.g. ""Build tools for builders""",例如“建筑工人的建筑工具！”
"e.g. ""Primary School"" or ""University""",如“小学”或“大学”
"e.g. ""Support"", ""Sales"", ""Jerry Yang""",例如“支持“，”销售“，”杨杰“
"e.g. Bank, Cash, Credit Card",例如：银行，现金，信用卡
"Edit in full page for more options like assets, serial nos, batches etc.",在整页上编辑更多的选项，如资产，序列号，批号等。
"Email Address must be unique, already exists for {0}",电子邮箱必须是唯一的，已经存在了{0}
"Email Domain not configured for this account, Create one?",此账号的电子邮箱未配置，创建一个？
"Email ID must be unique, Email Account already exists \				for {0}",电子邮件ID必须唯一，电子邮箱已存在\ {0}
"Emails will be sent to all Active Employees of the company at the given hour, if they do not have holiday. Summary of responses will be sent at midnight.",电子邮件将在指定的时间发送给公司的所有在职员工，如果他们没有假期。回复摘要将在午夜被发送。
"Employee, Leaves, and more.",员人，休假及更多
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart",系统启用了网站线上下单（购物车)功能，至少应有一条税费规则需勾选购物车适用
"Encryption key is invalid, Please check site_config.json",加密密钥无效，请检查site_config.json
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".",输入默认值字段（键）和值。如果为字段添加多个值，则将选择第一个值。这些默认值还用于设置“匹配”权限规则。要查看字段列表，请转到“定制表单”。
"Enter default value fields (keys) and values. If you add multiple values for a field,the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields,go to ""Customize Form"".",输入默认值字段（键）和值。如果为一个字段添加多个值，则会选取第一个值。这些默认值也用于设置“匹配”权限规则。要查看字段列表，请转到“定制表单”。
"Enter keys to enable login via Facebook, Google, GitHub.","输入登录信息以启用Facebook, Google或Github账号登录。"
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","请输入静态的URL参数(例如 sender=ERPNext, username=ERPNext, password=1234 etc.)"
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","连接到QZ托盘应用程序时出错... <br><br>您需要安装并运行QZ Tray应用程序才能使用原生打印命令功能。 <br><br> <a href=""https://qz.io/download/"" target=""_blank"">点击此处下载并安装QZ托盘</a> 。 <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">单击此处以了解有关原生打印命令的更多信息</a>"
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",即使有多个动态定价规则都是最高优先级，系统会使用以下的内部优先级：
"Example: ABCD.#####. If series is set and Batch No is not mentioned in transactions, then automatic batch number will be created based on this series. If you always want to explicitly mention Batch No for this item, leave this blank. Note: this setting will take priority over the Naming Series Prefix in Stock Settings.",例如：ABCD.##### 如果已设置批号模板且单据中未手工输入批号，则将根据此批号模板创建批号。如果您希望手工输入此物料的批号，请将此栏位留空。注意：此设置将优先于库存设置中的批号模板前缀。
"Expression, Optional",表达式，可选
"Field ""route"" is mandatory for Web Views",Web视图必须使用字段“路由”
"Field ""value"" is mandatory. Please specify value to be updated",字段值必填。请指定值进行更新
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",字段代表交易的工作流状态（如果字段不存在，系统会创建一个隐藏的自定义字段）
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box",字段以逗号分隔（，），将可通过全局搜索框进行搜索
"FIFO Stock Queue (qty, rate)",先进先出队列(数量，单价)
"FIFO/LIFO Queue",先进先出/后进先出队列
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",过滤字段行{0}：字段名<b>{1}</b>必须是“链接”或“表格MultiSelect”类型
"Filter must have 4 values (doctype, fieldname, operator, value): {0}",过滤条件必须有4个值（doctype，fieldname，operator，value）：{0}
"Filtered by ""{0}""",基于“{0}”过滤
"Financial reports will be generated using GL Entry doctypes (should be enabled if Period Closing Voucher is not posted for all years sequentially or missing) ",如果之前年度未按顺序或没做过期末结账凭证，请勾选，这样财务报表数据源就是总账明细而不是上年余额加本年明细
"Finished Good Quantity ",成品数量
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}",财政制度是强制性的，请在公司{0}设定财政制度
"Follow these steps to create a landing page for your store",请遵照此文档说明创建购物首页
"Food, Beverage & Tobacco",食品，饮料与烟草
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",对于“套件”物料，仓库，序列号和批号信息维护在“装箱单”中。如果仓库和批号是“套件”中所含物料共用的，可以在订单BOM表中输入这些值，系统会自动将其复制到“装箱单”。
"For an item {0}, quantity must be negative number",物料{0}的数量必须是负数
"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.",如果按批号创建班级，会校验是否在课程分类注册时注册了该批号。
"For comparison, use >5, <10 or =324. For ranges, use 5:10 (for values between 5 & 10).","过滤条件可以用>,<,= 比较符，两个值之间用：表示范围， 如>5, <10, =20, 5:10"
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.",对于基于课程的班级，课程将从入学课程中的每个学生确认。
"For currency {0}, the minimum transaction amount should be {1}",对于货币{0}，最小交易金额应为{1}
"For e.g. 2012, 2012-13",对例如2012，2012-13
"For example: If you want to include the document ID, use {0}",例如：如果要包括文件ID，使用{0}
"For help see <a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">Client Script API and Examples</a>","有关帮助，请参阅<a href=""https://frappe.io/docs/user/en/guides/portal-development/web-forms"" target=""_blank"">客户端脚本API和示例</a>"
"For job card {0}, you can only make the 'Material Transfer for Manufacture' type stock entry",对于加工单{0}，您只能选择“工单发料”类型物料移动
"For more information, <a class=""text-muted"" href=""https://erpnext.com/docs/user/manual/en/setting-up/email/linking-emails-to-document"">click here</a>.","有关更多信息， <a class=""text-muted"" href=""https://erpnext.com/docs/user/manual/en/setting-up/email/linking-emails-to-document"">请单击此处</a> 。"
"For more information, click here.",了解详情，请点这里
"For performance, only the first 100 rows were processed.",考虑到系统性能，仅处理了前100行。
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",对于{1}的第{0}行。要在物料单价中包括{2}，也必须包括第{3}行
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",为方便客户，这些代码可以在打印格式(如发票和销售出库)中使用
"For updating, you can update only selective columns.",您只能更新选择的列。
"For {0}, only credit accounts can be linked against another debit entry",{0}，借方科目的对销分录只能是贷方科目
"For {0}, only debit accounts can be linked against another credit entry",对于{0}，借方分录只能选择借方科目
"From a supplier under composition scheme, Exempt and Nil rated",来自组成计划下的供应商，免税和零评级
"Further accounts can be made under Groups, but entries can be made against non-Groups",更多的科目可以归属到一个组类的科目下，但日记账凭证中只能使用非组类的科目
"Gain/Loss accumulated in foreign currency account. Accounts with '0' balance in either Base or Account currency","外币累计损益，"
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.",生成要发货物料的装箱单，包括包裹号，内容和重量。
"Group Same Items",合并相同物料
"Header, Breadcrumbs and Meta Tags",标题，面包屑和元标记
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",特别说明：要关联链接至系统内另一个单据，请使用诸如“#Form/Sales Order/SAL-ORD-2020-00019”作为链接网址。不要使用“http://”开头的完整网址格式的链接。
"Here you can maintain family details like name and occupation of parent, spouse and children",可以登记家庭详细信息，如姓名，父母、配偶及子女的职业等
"Here you can maintain height, weight, allergies, medical concerns etc",可以记录身高，体重，是否对某药物过敏等
"Hide descendant records of <b>For Value</b>.",隐藏下层节点<b>值</b>
"Higher the number, higher the priority",数字越大，优先级越高
"Hint: Include symbols, numbers and capital letters in the password",提示：在密码中加入符号，数字和大写字母
"How should this currency be formatted? If not set, will use system defaults",货币应该如何格式化？未设置将使用系统默认
"HTML Header, Robots and Redirects",HTML标头，机器人和重定向
"If a Role does not have access at Level 0, then higher levels are meaningless.",如果角色没有0级的访问权限，那么无需设置更高级权限
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User",如果选中了“严格用户权限”，并为用户定义了“用户权限”，则该链接的值为空的所有单据将不会显示给该用户
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)",如果勾选，则新客户将自动被分配该积分方案
"If blank, parent Warehouse Account or company default will be considered in transactions",如果为空，则取父仓库或公司基础资料里默认的科目,
"If blank, parent Warehouse Account or company default will be considered",如果为空，则将考虑父仓库科目户或公司默认值
"If checked, a customer will be created, mapped to Patient.Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.",如果选中，将创建一个客户，映射到患者。将针对该客户创建病人发票。您也可以在创建患者时选择现有客户。
"If checked, all other workflows become inactive.",如果勾选，其他工作流将变为失效状态。
"If checked, picked qty won't automatically be fulfilled on submit of pick list.",如勾选，拣货单提交时不自动更新拣货数量
"If checked, Rejected Quantity will be included while making Purchase Invoice from Purchase Receipt.",如勾选，从采购入库创建采购发票时包含拒收数量
"If checked, the Home page will be the default Item Group for the website",如果选中，网站主页将默认显示该物料组
"If checked, the tax amount will be considered as already included in the Paid Amount in Payment Entry",如勾选，收付款凭证中付款金额就含税
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果勾选，打印的单价/总额就含税
"If checked, this field will be not overwritten based on Fetch From if a value already exists.",如勾选，仅在字段值为空时从关联单据获取值，字段有值则不覆盖
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果勾选，工作日总数将包含假期，“日工资”值会相应降低。
"If checked, users will not see the Confirm Access dialog.",如果选中，用户将不会看到确认访问对话框。
"If disable, 'In Words' field will not be visible in any transaction",如果不显示大写金额，任何交易页面都不会显示大写金额字段
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，“圆整后金额”字段将不在任何交易中显示
"If disabled, this role will be removed from all users.",如果禁用了，这个角色将会从所有用户中删除。
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",如果启用，用户从任何IP地址登录都需要双重验证，可以在系统设置中为所有用户启用双重验证
"If enabled, additional ledger entries will be made for discounts in a separate Discount Account",如果勾选，生成的会计凭证中包含折扣科目
"If enabled, all users can login from any IP Address using Two Factor Auth. This can also be set only for specific user(s) in User Page",如果启用，所有用户都可以使用双因素身份验证从任何IP地址登录。这也可以只为用户页面中的特定用户设置
"If enabled, changes to the document are tracked and shown in timeline",如果启用，对单据的变更会被追踪记录，显示在表单下方的日志记录里
"If enabled, document views are tracked, this can happen multiple times",如果启用，系统会记录单据被查看过多少次
"If enabled, field Academic Term will be Mandatory in Program Enrollment Tool.",如果启用，则在学期注册工具中，学期字段强制必填。
"If enabled, ledger entries will be posted for change amount in POS transactions",如勾选，则为POS交易中的找零自动生成日记账凭证
"If enabled, system will create the work order for the exploded items against which BOM is available.",如勾选，系统将为定义了BOM的下层物料生成生产工单。
"If enabled, the consolidated invoices will have rounded total disabled",如勾选合并后的发票禁用小数精度尾差
"If enabled, the document is marked as seen, the first time a user opens it",如果启用，则在用户第一次打开单据时将单据标记为已显示
"If enabled, the notification will show up in the notifications dropdown on the top right corner of the navigation bar.",如勾选，通知将出现在导航区右上角的通知清单里
"If enabled, the password strength will be enforced based on the Minimum Password Score value. A value of 2 being medium strong and 4 being very strong.",如果启用，密码强度将根据最低密码分数值执行。值2为中等强度，4为非常强。
"If enabled, the system will create material requests even if the stock exists in the 'Raw Materials Warehouse'.",是否忽略库存
"If enabled, the system will post accounting entries for inventory automatically.",如果启用，系统将自动为库存创建日记账凭证。
"If enabled, the system won't create material requests for the available items.","勾选后，系统不会为有可用数量的物料创建物料需求"
"If enabled, then system will create the material even if the raw materials are available",如勾选，则即使有可用原材料，系统也会生成物料需求(需求)
"If enabled, user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",如果启用，用户从任何IP地址登录都需要双重验证，可以在系统设置中为所有用户启用双重验证
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth",如果启用，从受限制IP地址登录的用户无需双重验证
"If enabled, users will be notified every time they login. If not enabled, users will only be notified once.",如勾选，用户每次登录时都弹框通知。否则只弹框通知一次。,
"If image is selected, color will be ignored.",如果图像被选择时，颜色将被忽略。
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified",如果物料为另一物料其中一种规格(多规格物料)，那么它的描述，图片，价格，税率等将从模板物料自动带过来。你也可以手动设置。
